# BANNER FILE NOT PROVIDED (-b option)
# BULK_EXTRACTOR-Version: 2.0.0
# Feature-Recorder: ip
# Filename: Forensics.pcapng
# Histogram-File-Version: 1.1
n=87138	192.168.112.128
n=29242	86.120.3.208
n=19374	82.76.79.78
n=18035	137.74.202.89
n=3506	142.251.39.36
n=3460	142.250.180.206
n=1213	86.120.7.144
n=1168	86.120.7.141
n=892	142.250.180.238
n=843	172.217.19.98
n=746	142.251.39.14
n=722	142.251.39.66
n=662	142.251.39.86
n=540	142.250.180.227
n=496	172.217.20.1
n=416	142.250.180.228
n=407	67.22.56.23
n=360	188.209.215.213
n=296	142.250.180.225
n=287	172.67.150.137
n=287	67.22.56.18
n=284	172.67.75.106
n=253	142.251.39.3
n=251	192.168.112.2
n=221	172.217.19.118
n=217	178.250.2.135
n=203	209.197.3.25
n=179	192.124.249.13
n=165	142.251.39.42
n=129	205.185.208.142
n=126	172.67.202.143
n=125	66.254.114.41
n=118	178.250.0.138
n=117	142.251.39.54
n=114	142.251.39.78
n=106	142.251.39.2
n=98	142.250.201.206
n=84	142.250.180.194
n=81	172.217.19.109
n=78	192.124.249.12
n=77	205.185.208.79
n=68	142.250.180.230
n=64	142.250.201.195
n=64	172.217.19.110
n=56	172.217.19.106
n=54	3.217.175.158
n=53	142.251.39.34
n=51	104.27.195.88
n=51	66.254.114.38
n=50	178.250.2.150
n=49	142.251.39.67
n=47	69.16.175.42
n=46	178.250.0.160
n=43	178.250.0.130
n=39	66.254.114.171
n=29	104.117.76.8
n=29	74.125.173.71
n=28	188.184.21.108
n=28	2.17.119.126
n=26	142.250.201.208
n=26	142.250.27.155
n=24	178.250.0.129
n=24	178.250.2.129
n=23	104.16.89.20
n=23	104.17.24.14
n=22	216.18.168.30
n=22	66.254.114.156
n=22	67.22.56.19
n=20	142.251.39.74
n=20	239.255.255.250
n=17	142.250.180.202
n=17	142.250.180.234
n=15	67.22.56.20
n=12	192.168.112.1
n=12	34.104.35.123
n=6	10.70.70.70
n=4	8.8.8.8
